date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-06-19,,2,,,,1,,
2017-06-20,,9396,,,,8117,,
2017-06-21,,19276,,,,13770,,
2017-06-22,,1,,,,2,,
2017-06-23,,2,,,,3,,
2017-06-24,,9,,,,10,,
2017-06-25,,,,,,,,
2017-06-26,,,,,,,,
2017-06-27,,181,,,,182,,
2017-06-28,137377085.117,14533,0.0,0.061776,13747700.0,13067,1550.639376,
2017-06-29,98469474.2553,11344,194259488.0,0.055975,18083200.0,9126,1399.375,
2017-06-30,18962476.468,3163,179935296.0,0.051847,10133300.0,2404,1042.1247,
2017-07-01,12148144.3853,2414,154009472.0,0.044377,10307200.0,1958,1106.11952812,
2017-07-02,11903883.8924,2458,152418640.0,0.043919,7502210.0,1969,1469.925011,
2017-07-03,30177376.0492,4738,148244960.0,0.042716,28853300.0,3308,1202.3445753,
2017-07-04,26705429.6049,3482,195859904.0,0.056436,18958100.0,2664,1241.592,
2017-07-05,9539364.92958,1825,197792864.0,0.056993,11487700.0,1424,1139.8599943,
2017-07-06,8060687.41135,1673,174958016.0,0.050413,10173100.0,1215,988.0948,
2017-07-07,9539144.1519,1588,174836864.0,0.050378,7012400.0,1144,1007.56,
2017-07-08,7136295.3166,1214,153114592.0,0.044119,6282280.0,877,882.38,
2017-07-09,2979385.25579,921,154011472.0,0.044377,3429300.0,740,681.595835977,
2017-07-10,8036998.17745,1331,140900400.0,0.0406,6133140.0,1061,890.475334,
2017-07-11,5962056.56778,1885,106560992.0,0.030705,7617130.0,1126,934.439489389,
2017-07-12,3581587.63672,897,87349560.0,0.025169,5178400.0,689,632.24528,
2017-07-13,2771664.45004,1053,108029184.0,0.031128,5187090.0,625,680.380803373,
2017-07-14,2109108.77646,666,97978496.0,0.028232,3055070.0,487,587.599674,
2017-07-15,1525005.73784,548,88807392.0,0.025589,2668550.0,448,465.062363388,
2017-07-16,1332685.58833,614,81697880.0,0.023541,2339710.0,464,376.656,
2017-07-17,1279757.19065,667,81819808.0,0.023576,3764400.0,510,471.75576,
2017-07-18,2172816.00819,776,90900728.0,0.026192,5126630.0,539,523.8373808,
2017-07-19,2570456.52702,758,100758504.0,0.029033,4366050.0,539,725.82470967,
2017-07-20,2668804.03407,711,92396760.0,0.026624,3753830.0,500,532.48,
2017-07-21,8722347.7906,4322,104205208.0,0.030026,11944800.0,2790,570.494,
2017-07-22,34077633.953,9058,132972872.0,0.038315,38566700.0,6456,875.648902675,
2017-07-23,86714082.0702,13925,291519328.0,0.084,159816000.0,9559,1313.21484,
2017-07-24,34350444.588,7240,291837344.0,0.084091,48405700.0,4753,840.91,
2017-07-25,10940290.661,2131,264948432.0,0.076343,52165600.0,1385,1475.20070736,
2017-07-26,6124017.40457,1689,204741968.0,0.058995,51832700.0,1115,967.518,
2017-07-27,3920572.98774,1083,206861488.0,0.059606,27039600.0,814,893.513186275,
2017-07-28,3855141.68129,992,204562416.0,0.058943,17827200.0,674,884.145,
2017-07-29,4669709.7657,1169,187714928.0,0.054089,17077400.0,626,1081.78,
2017-07-30,3380213.83845,674,186966384.0,0.053873,8438260.0,444,709.103093135,
2017-07-31,2036753.86922,785,175730384.0,0.050636,17412400.0,519,759.54,
2017-08-01,2146917.46767,806,188414224.0,0.05429,23845300.0,549,941.733984152,
2017-08-02,5955554.57699,945,191330304.0,0.055131,15754800.0,644,800.530060391,
2017-08-03,5874231.48583,1163,189374224.0,0.054567,15695800.0,726,964.790652745,
2017-08-04,4626335.78715,1503,194550640.0,0.056059,16038900.0,883,1121.18,
2017-08-05,6832403.23454,2162,197577120.0,0.056931,37828900.0,1213,1194.4408455,
2017-08-06,5410377.63303,1563,228325392.0,0.065791,24237700.0,960,1120.9072176,
2017-08-07,8814896.02883,2292,214078320.0,0.061685,40894300.0,1268,1233.7,
2017-08-08,6892726.7033,1927,246253216.0,0.070956,35787700.0,1171,1086.123492,
2017-08-09,3986913.3909,1444,251339504.0,0.072422,18237500.0,855,1086.32927578,
2017-08-10,8967461.7035,1889,225860592.0,0.06508,27412400.0,1138,996.9598692,
2017-08-11,13785084.5034,3191,227154320.0,0.065453,58822600.0,1657,1294.267622,
2017-08-12,9209977.1902,2520,271523488.0,0.078238,24574100.0,1203,1274.575258,
2017-08-13,14086564.6378,2172,237025440.0,0.068297,21679300.0,1218,1363.959387,
2017-08-14,18582727.1638,2620,221765184.0,0.0639,23224100.0,1411,1487.06888936,
2017-08-15,6914335.51802,1601,213924832.0,0.061641,19850100.0,970,1231.278975,
2017-08-16,4556748.74598,1653,210895152.0,0.060768,11186700.0,975,1211.88763145,
2017-08-17,13659482.434,2482,207866592.0,0.059896,22798200.0,1305,1300.26566682,
2017-08-18,6946338.81623,1531,211490048.0,0.06094,13896200.0,1017,1076.82465378,
2017-08-19,4515035.84876,1358,189763312.0,0.054679,12062400.0,826,1314.1277465,
2017-08-20,2677272.32616,861,189293264.0,0.054544,6738530.0,649,681.036384,
2017-08-21,3334884.25356,1284,190690656.0,0.054946,9409920.0,774,989.028,
2017-08-22,2882354.4424,916,177164560.0,0.051049,5745640.0,687,558.731305,
2017-08-23,2605384.84858,1151,173357392.0,0.049952,8995140.0,719,749.323058624,
2017-08-24,3559290.97858,1322,177990240.0,0.051287,8706810.0,741,1027.27861,
2017-08-25,4191564.30365,1308,182969728.0,0.052722,5922650.0,696,948.996,
2017-08-26,2889473.34181,881,176911456.0,0.050976,5512320.0,574,645.4530144,
2017-08-27,2510540.84823,1002,175156816.0,0.05047,6815440.0,610,969.18181969,
2017-08-28,7292108.80147,1140,179144304.0,0.051619,7486210.0,671,1032.38,
2017-08-29,3783170.60708,1241,169930416.0,0.048965,10873400.0,768,978.81035,
2017-08-30,3868002.9515,1333,171696048.0,0.049473,9555330.0,827,988.382019079,
2017-08-31,4228794.3073,1377,163779488.0,0.047192,7463400.0,765,991.459647108,
2017-09-01,4300471.43456,1439,166615680.0,0.048009,7175300.0,818,960.18,
2017-09-02,3413402.20747,1026,165115568.0,0.047577,8260080.0,729,948.68538,
2017-09-03,7074580.33766,1235,143132368.0,0.041243,6755000.0,783,824.983729,
2017-09-04,10273474.8707,3194,137412032.0,0.039595,9710210.0,2051,837.919724295,
2017-09-05,9862909.00371,2851,103796072.0,0.029908,5825530.0,2040,566.946719444,
2017-09-06,12435798.1799,3593,107741384.0,0.031045,9953750.0,2416,660.458982592,
